firm_name,business_type,address,reply
M. R. Blakelock & Son,Flannel Manufacturers,Liversedge,"Our works are situated on the Rawfolds Beck, a tributary of the Calder. Employ 40 hands. Rateable value of works, The bed of the stream has not silted up. Our works are not affected by floods. The stream used formerly to be clear; it is not so now. It is very much polluted by refuse from works above, dyeworks, and wire mills; but not by mines. Obtain supply of water from the Beck; I do not know the annual consumption at our works. If the stream were rendered clear and colourless, we could use it for manufacturing purposes, which we cannot do in its present condition. The whole of the waste liquid produced at our works is used for agricultural purposes. Do not use any dye wares or bleaching materials. Use yearly, 7 tons of olive oil, of the value of £350. The whole of the wool produced in carding is used for manure. Use steam, 20 nominal horse-power. Consume yearly, 900 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are used for manure. Have no suggestions to offer."
The Bradford Dyeing Company,Dyers,"Rawfolds, Liversedge","Our works are situated on the Rawfolds Beck, an affluent of the Calder. Employ 70 hands. Rateable value of works, £368. The bed of the stream has silted up, caused by ashes and other solid refuse thrown into it. Our works are not affected by floods, but the land adjoining to the works is occasionally flooded, caused by the silting up of the bed of the stream. The stream is seriously polluted by works above, and the water is rendered useless to us from that cause. Obtain supply of water from wells and bore-holes, and consume yearly, 62,000 gallons. If the stream from which we might derive our supply of water were rendered clear and colourless, it would be of considerable value to us, but we cannot estimate the amount. We dye 1,500,000 lbs. of goods yearly. The whole of the waste liquid produced at our works flows direct into the Beck. Use yearly as dye wares, dyewoods, 470,000 lbs.; a glauber salt, 34,000 lbs.; soda ash, 6,500 lbs.; 3,000 lbs. of alum, 40,500 lbs.; 1 alum, 40,500 lbs.; bi-chrome, 11,200 lbs.; a lime, 5,000 lbs.; extract of indigo, 5,000 lbs.; and dye liquors, 122,000 lbs. The spent dye stuffs are partly burned. Use yearly 10 tons of bleaching lime, and 2 tons of soap. The soapsuds are not treated for the recovery of the grease. Use steam, 25 nominal horse-power. Consume yearly 1,200 tons of coal, the ashes from which are used to repair roads. One-fifth of the excrements of our workpeople is conveyed into the Beck and four-fifths are used for manure. We suggest as the best means of avoiding pollution in future that all solid and liquid refuse should be taken out of rivers and streams, and that in manufacturing districts sewers should be constructed on each side of rivers and streams to intercept the sewage and liquid refuse. This refuse should be conducted to convenient places, passed through filter beds, and purified before being allowed to flow into rivers and streams; and also that a rate should be levied in the district for carrying out and maintaining this work."
J. B. Oldfield, Medical Officer for the Heckmondwike District of Dewsbury Union,"Hill Top House, Heckmondwike","This district is daily growing more important, and contains within it a large population. From the head of the valley at Lowmoor to Ravensthorpe, near Sawbury, there is a population of about 40,000 persons. One of the tributaries of the river Calder flows down this valley, receiving the drainage and pollutions of towns and various manufactories in connexion with them. Our large rivers are often more polluted by towns and villages on a tributary than by those on their banks. The river Spen, which flows very high, was so spoiled a variety of fish, at present has the appearance of ink, and in fact is the receptacle of every abomination. I trust that the Government will take the necessary steps to remove the evils arising from these pollutions, for I have not much faith in local authorities, especially in manufacturing districts; they are so accustomed to shirks. I think the agitation of our Corporation just now will end in nothing. If a bill is passed by the Government to form drainage districts, the Heckmondwike valley ought to be made into a separate one, for it has little to do with other portions of the neighborhood, except in polluting the Calder, and its connexion with Dewsbury and Batley in the waterworks."
Edwin Firth & Sons,"Blanket, Carpet, Railway Rugs, and Woollen Cloth Manufacturers",Heckmondwike,"Our works are situated on a small tributary of the Calder. Employ 2,000 hands. Rateable value of works, 1235l. The bed of the stream has silted up, caused by the ashes being placed across the stream at various points, which prevent the ashes and other solid refuse thrown in from being washed freely away in a time of flood. Our main works are situated at too high a level, but a portion of our works is affected by floods, caused by the silting up of the stream. The water of the stream is discoloured, but within the memory of persons of our workpeople, it was a pure stream containing fish. It is polluted chiefly by works above ours; it is partially polluted by mines. Obtain supply of water from springs, wells, waterworks, and gathering grounds; but are not able to state the whole consumption at our works. Manufacture yearly, goods of the value of 200,000l., print goods of the value of 20,000l., and dye goods of the value of 40,000l. The whole of the waste liquid produced at our works, except soapsuds, flows direct into the stream. We use yearly as dye wares, chipped logwood, 210,916 lbs., rasped limawood, 2,548 lbs.; peachwood, 57,323 lbs.; Sander's wood, 16,828 lbs.; fustic, 461,171 lbs.; cudbear, 9,225 lbs.; tar, or madder, 818 lbs.; flavine, 15,962 lbs.; myrobalans, 41,090 lbs.; lac dye, 10,026 lbs.; sumach, 4,286 lbs.; cochineal, 5,749 lbs.; turmeric, 20,779 lbs.; argol, 2,957 lbs.; bichrome, 8,926 lbs.; sulphate of iron, 12,508 lbs.; nitrate of iron, 25,325 lbs.; prussiate of copper, 872 lbs.; bi-carbonate of soda, 647 lbs.; album, 31,360 lbs.; prussiate of potash, 818 lbs.; extract of indigo, 14,449 lbs.; alum, 31,360 lbs.; grain, 13,136 lbs.; oxymuriate of tin, 4,928 lbs.; aniline colour, 1,000 lbs.; ammonia, 6,310 lbs.; logwood liquor, 21,716 lbs.; pieric acid (liquid), 6,134 lbs.; sammoniac, 100 lbs.; hydrochloric acid (liquid), 22,468 lbs.; muriatic acid, 7,916 lbs.; grain spirits, 13,835 lbs.; sapan liquor, 7,336 lbs.; blue liquor, 850 lbs.; yellow spirits, 13,635 lbs.; blue spirits, 6,514 lbs.; caustic liquor, 2,385 lbs., and diluted spirits, 3,814 gallons. The solid dye stuffs are burned. Do not use any bleaching materials. Use yearly, soap 20 tons; soda ash, 62 tons; chloride of lime, 1 ton; and 18,286 gallons of urine. The soapsuds are created for the recovery of the grease, and we gain yearly 621 lbs. by the extraction. Use steam, 200 nominal horse-power. Consume yearly 5,934 tons of coal, the ashes from which are ground and used in the manufacture of bricks. The excrements of our workpeople are removed from the premises by farmers, and used for manure. We consider that if the productions which cause pollution were dealt with and utilized in a comprehensive scheme it would be remunerative."
George Cardwell & Sons,Blanket and Carpet Manufacturers,Heckmondwike,"Our works are situated on the Spen Beck, a tributary of the Calder. Employ 150 hands. Rateable value of works, 531l. The bed of the river has silted up, caused by ashes and other solid refuse thrown into it. Our works are affected by floods. In the summer of 1868 we lowered the bed of the Beck under the bridge 6 inches, to make room for the floods to pass off. The river is polluted by works above; we think not by mines. Obtain supply of water partly from the Beck and from the river, but are not able to state the annual consumption at our works. If the Beck, from which we might derive a supply of water, were rendered clear and colourless, it would be a direct money value to us of 201l. a year. Manufacture yearly 290,000 lbs. and dye 160,000 lbs. of goods of the value of 24,000l. The whole of the liquid refuse produced at our works flows direct into sewers, and thence into the beck. Use yearly 55,000 lbs. of dye wares, chiefly logwood, peachwood, fustic, argols, cochineal, indigo, copperas, bi-chrome, prussic acid, and a variety of other spirits, ammonia, and blue spirits. The solid dye stuffs are burned, and the liquids flow into the beck. Use yearly as bleaching materials, 4 tons of solid brimstone, which is roygised. Consume yearly 1,201 lbs. of the value of 1,000l. The whole of the waste wood produced in carding is sold for manure. Use yearly, soap 20 tons, and 286,880 lbs. of soda crystals and soda ash. The soapsuds are not treated for the recovery of grease. Use steam, 30 nominal horse-power. Consume yearly 1,600 tons of coal, the ashes from which are mixed with refuse and used for manure on our own land. Have no suggestions to offer."
Henry Oates & Sons,Blanket Manufacturers,"High Street, Heckmondwike","Our works are situated on a tributary of the Calder. Employ from 120 to 130 hands. Rateable value of works, 458l. 12s. Our works are not affected by floods. Obtain supply of water partly from wells, from stream, and from waterworks; but are not able to state the annual consumption at our works. Manufacture yearly 220 tons of wool, of the value of 18,000l. to 20,000l. The whole of the waste liquid produced at our works flows into the Beck. Do not use any dye wares. Use 10 tons of rolled sulphur, which is vaporized. Use yearly 6,000 gallons of raw and Gallipoli oils, of the value of 1,400l. The whole of the waste wood produced in the process of carding, either sold or mixed with refuse. Use yearly soap 11 tanks, and 2 tons, urine 2,000 gallons. The soapsuds are not treated for the recovery of grease. Use steam, 30 nominal liorse-power. Consume yearly 1,000 tons of coal, the ashes from which are carted away to repair roads, The excrements of our workpeople are mixed with fine ashes and arc used for manure. Have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
Richard Clarkson & Company,Blanket Manufacturers,"High Street, Heckmondwike","Our works are situated on the Spen, a tributary of the Calder. Employ 120 hands. Rateable value of works, 314l. The bed of the stream has not silted up. Our works were affected by floods. The condition of the stream has been much the same during the last 20 years; it is polluted by works above, and is the general receptacle of all the waste liquid from mills and dyeworks, and also town sewage. As the stream flows along it is of various colours, black, red, and blue, according to the liquids which are poured into it, but it is chiefly black. Obtain supply of water from the stream for boiler purposes, after it has settled for some time in reservoirs; and from the waterworks for drinking purposes. Manufacture yearly goods of the value of 36,000. The waste liquid produced at our works flows direct into the stream. Do not use any dye wares or bleaching materials. Use 8,260 gallons of olive and Price's patent cloth oil, of the value of 1,652. Produce yearly 25 tons of waste wool in the process of carding, which is sold to oil extractors. Do not use any soap, alkali, or urine. Use steam, 30 nominal horse-power. Consume yearly 1,000 tons of coal, the ashes from which are carted away to repair roads. The excrements of our workpeople are mixed with ashes and flue dust, are used for manure. Have no suggestions to offer as to the best means of avoiding pollution in future, as to the conservancy of rivers and streams."
"Fairfax, Kei.Eey, & Sons",Carpet Manufacturers,Heckmondwike,"Our works are situated on the Spen, a tributary of the Calder. Employ 450 hands. Rateable value of works, 415l. 10s. The bed of the stream has silted up, caused by solid and other refuse thrown into it. Our works are occasionally affected by floods. The river is polluted by works above, not by mines. Obtain supply of water from wells, and from stream; consume yearly, 33,726,000 gallons. If the stream were rendered clear and colourless, it would be of very little use to us, as we like the water of the stream better than the well water for boiler purposes. Manufacture yearly, 2,000 tons of goods, of the value of 70,000. Produce yearly, liquid refuse from soaps, dyeware, and suds, 33,726,000 gallons. The whole of the liquid refuse produced at our works, except the soapsuds, flows direct into sewers, and thence into the river. Use nearly 80 tons of dye wares; chiefly logwood, peachwood, fustic, aniline dyes, lac dye, and indigo. Do not use any bleaching materials. Use yearly, 50 tons of Price's patent cloth oil, of the value of 2,000. The whole of the waste wood produced in carding is sold for manure. Use yearly, soft soap 10,500 lbs, and alkali 60,000 lbs. The soapsuds are sold to oil and grease extractors, by which we gain 15l. Use steam, 24 nominal horse-power. Consume yearly 1,200 tons of coals, the ashes from which are used partly to repair roads, and partly to fill up an old quarry. The excrements of our workpeople are used for manure. Have no suggestions to offer."
George Rhodes & Sons,"Worsted Yarn Spinners, Dyers, and Carpet Manufacturers","Ings Mill and Smithies Mill, Heckmondwike","Our works are situated on the Spen, a tributary of the Calder. Employ 186 hands. Rateable value of works, 380l. The bed of the river has silted up, caused by ashes and other solid refuse thrown into it. Our works are occasionally affected by floods. The condition of the river is very much worse than it was 20 years ago; we cannot use it for dyeing and cleansing purposes, but we can use it to some extent. Obtain supply of water partly from the stream, from a well, from the waterworks, and from gathering grounds, but are not able to state the annual consumption at our works. Manufacture yearly, 600,000 lbs, of the value of 24,000l, and dye 200,000 lbs, of the value of 2,000l. The whole of the waste liquid produced at our works flows into sewers and thence into the stream. Use yearly 11,836 lbs of dye wares, chiefly logwood, peachwood, fustic, tartars, and reds, cochineal, flavine, alum, turmeric, bi-chromate of potash, prussiate of potash, copperas, extract of indigo, annatto, and others. When the dyes are burned; the spent liquids flow direct into the stream. Do not use any bleaching material. Use yearly 50 tons of olive, Gallipoli, and Price's patent cloth oils, of the value of 1,500. Produce yearly tons of waste wool in the process of carding, which is sold to oil extractors. Use yearly, soap 15,000 lbs.; alkali, 2,400 lbs.; no urine. The soapsuds are not treated for the recovery of grease. Use steam 60 nominal horse-power. Consume yearly 1,500 tons of coal ; the ashes from which are used to repair roads. The excrements of our workpeople are carted away by farmers to be used for manure. Have no suggestions to offer."
"Armitage, Frith & Ward",Carpet Manufacturers,Heckmondwike,"Our works are situated on a tributary of the Calder. Employ 10 hands. Rateable value of works, 38l. Our works are not affected by floods. Obtain supply of water partly from gathering grounds, and partly from waterworks; but do not know the annual consumption at our works. Manufacture yearly 72,000 lbs. of goods, of the value of 1,800. The whole of the waste liquid produced at our works flows direct into sewers, and hence into the stream. Use 8 tons of dye wares yearly, chiefly logwood, limawood, and fustic. The spent dye stuffs are burned. Do not use any bleaching materials. Use yearly 600 gallons, of the value of 80. The waste wood produced in carding is sold. We have room and power at Messrs. Spivey and Brierley, and therefore are unable to state the nominal horse-power used, the quantity of coal consumed, or what is done with the ashes. The excrements of our workplace are used for manure. Have no suggestions to offer."
George Tattersfield And Company,Blanket and Woollen Manufacturers,"Springpiece Mills and Oakland Mills, Mirfield","One of our works is situated on the Calder, and the other a short distance from it. Employ from 500 to 600 hands. Rateable value of works, 829l. The bed of the river has not silted up. Our mills are not affected by floods. The river is polluted by works above, but we have no reason to complain of it; we are not aware that it is polluted by mines. Obtain supply of water from the river, and consume yearly 30,000,000 gallons. Manufacture yearly, goods of the value from 200,000l. to 300,000l. The whole of the waste liquid, except soapsuds, produced at our works, flows direct into the stream. Do not use any dyes or bleaching materials. Use yearly 82 tons of olive, rap, and Price's patent cloth oil, of the value of 3,692. The greater part of the waste wood produced in carding is sold, the remainder is used for manure. Use yearly 25 tons of soap, 60 tons of alkali, and 500 tons of urine. The soapsuds are treated for the recovery of grease, by which we gain 100l. a year. Use steam, 100 nominal horse-power. Consume yearly 3,500 tons of coal, the ashes from which are used chiefly to repair roads, none are thrown into the river. The excrements of our workplace are used for manure. We suggest, as the best means of avoiding pollution in future, that manufacturers and others should be compelled to prevent all solid refuse from flowing into rivers and streams. With regard to the conservancy of rivers and streams, we think it is a moonshine piece of business, that it would be of no practical use to the country, but would work immense injury to manufacturing interests."
James Hewgate & Sons,Woollen Manufacturers,"Ravensthorpe Mills, Ravensthorpe","Our works are situated on the Calder. Employ 650 hands. Rateable value of works, 986l. The bed of the stream has not silted up within our knowledge. Our works are not affected by floods. The river necessarily gets dirtier year by year and increases, and this has been the case to a considerable extent during the last few years. Obtain supply of water direct from the river. The goods we manufacture yearly weigh in the grease 2,100,000 lbs., and when scoured 1,400,000 lbs., and are of the value of 12,000l. The whole of the waste liquid produced at our works, except soapsuds, flows direct into sewers, and thence into the stream. Use yearly 300,000 lbs. of dye wares, chiefly logwood, fustic, barwood, and peachwood. The spent dye stuffs are burned. Do not use any bleaching materials. Use yearly 90 tons of Gallipoli and Price's patent oil, of the value from 4,000l. to 5,000l. Produce yearly 100 tons of waste wood, which is sold to oil extractors. Use yearly soap 30 tons; alkali, 60 tons; and urine 80 tons. The soapsuds are treated for the recovery of the grease, by which we gain 120l. yearly. Use steam, 100 nominal horse-power. Generally 5,000 tons of coal, the ashes from which are partly ground and mixed with lime for mortar, and partly used for filling up hollow places. The excrements of our workplace are used for manure. Have no suggestions to offer."
Day & Fox,Woollen Manufacturers,"Gow Mills, Mirfield","Our works are situated on the Calder. Employ 200 hands. Rateable value of works, 625l. The bed of the river has not silted up. Our works are not affected by floods. The condition of the river has not changed within our knowledge. It is polluted by works above and by mines. Obtain supply of water from the river, and consume yearly 20,000,000 gallons. If the river were rendered clear and colourless, it would be of considerable value to us, but we are not able to state the amount. Manufacture yearly 465,420 lbs. of goods. Produce liquid refuse from washing, 2,500,000; from soapsuds, 500,000 gallons. The whole of the liquid refuse produced at our works, except soapsuds, is unfiltered into the any. Use yearly as dye wares 140,000 lbs. of solid, and 2,300 lbs. of liquid. The spent dye stuffs are thrown into the river. Do not use any bleaching materials. Use yearly 10,000 gallons of Gallipoli and olive oils, of the value of 2,860. Produce yearly 42 tons of waste wool in the process of carding, which is sold to oil extractors. Use yearly, soap 10,000 lbs.; alkali 63,200 lbs.; and urine 40,000 gallons. The soapsuds are sold to grease extractors, where we gain. Use steam and water as power, steam 26 and water 20 nominal horse-power. Consume yearly 2,000 tons of coal, the ashes from which are used for repairing roads. The excrements of our workpeople are carted away and used as manure."
John Burnley & Sons,Fullers,"West Mills, Mirfield","Our works are situated on the Calder. Employ 7 hands. Rateable value of works, 109l. Our work is occasionally affected by floods. Obtain supply of water from the river, but are not able to state the annual consumption at our works. Except immediately after a flood the water is sufficiently clear for our purposes. We fully yearly, 552,000 lbs. of goods, of the value of 42,000. The whole of the liquid refuse produced at our works, except soapsuds, flows direct into the stream. Do not use any dye wares or bleaching materials. Use yearly, soap 27,000 lbs.; the soapsuds are sold to grease extractors. Use steam, 16 nominal horse-power. Consume yearly 550 tons of coal; make 75 tons of ashes, which are used to fill up old quarries and such like places. The excrements of our workpeople are used for manure. Have no suggestions to offer."
Thomas Ackroyd & Sons,Worsted Spinners and Manufacturers,Birkenshaw,"Our works are situated near to an affluent of the Calder. Employ 470 hands. Rateable value of works, 1,080l. Our works are not affected by floods. Obtain supply of water jointly from springs and from Bradford Waterworks Company; and consume yearly 1,000,000 gallons. Manufacture yearly 324 tons of wool, of the value of 120,000. The whole of the waste liquid produced at our works, except the soapsuds, flows direct into sewers, and thence into the stream. Do not use any dye wares or bleaching materials. Use yearly 20 tons of olive oil, of the value of 1,000. The waste wool produced in the process of carding is sold to waste dealers. Use yearly, soap 93,184 lbs. The soapsuds are treated for the recovery of the grease, by which we gain from 200 to 800 a year. Use steam, 100 nominal horse-power. Consume yearly about 3,000 tons of coal, the ashes from which are used to fill hollow places in the neighbourhood. The excrements of our workpeople are used for manure. Have no suggestions to offer."
"James Oddy, Junior",Worsted Spinner and Manufacturer,Birkenshaw,"My works are situated near to an affluent of the Calder. Employ 400 hands. Rateable value of works, 656l. 13s. 10d. My works are not affected by floods. Obtain supply of water for washing from Bradford Corporation Waterworks, and for other purposes from gathering grounds, which is stored in reservoirs; consume yearly of the water obtained from the Bradford Waterworks Company, 2,000,000 gallons. Manufacture yearly 20 tons of goods, of the value of 90,000. The whole of the waste liquid produced at our works, except soapsuds, flows direct into sewers, and thence into the stream. Do not use any dye wares or bleaching materials. Use yearly 1 ton of olive oil, of the value of 520. The whole of the waste wool produced in the process of carding is sold to waste dealers. Use yearly, soap 200 packs, no alkali or urine. The soapsuds are treated for the recovery of the grease, and gain 501. 2 by the extractors. Use steam, 60 nominal horse-power. Consume yearly 2,100 tons of coal, the fine ashes from which are mixed with the excrements of my workpeople, and used for manure; the coarsest ashes are used to repair roads. Have no suggestions to offer as to the means of avoiding pollution in future, or as to the conservancy of rivers and streams."
"Firth, Wright, & Company",Scribblers and Millers,Gomersal,"Our works are situated near an affluent of the Calder. Employ 50 hands. Rateable value of works, 420l. Our works are not affected by floods. Obtain supply of water yearly from gathering grounds from bore-holes, and consume yearly 50,000 gallons. We scribble and mill yearly 340 tons of the value of 22,800. The whole of the liquid refuse produced at our works directly into the stream. Do not use any dye wares or bleaching materials. Use yearly 8,500 gallons of olive oil, of the value of 1,275l. Do not use soap, alkali, or urine. Use steam, 30 nominal horse-power. Con- sume yearly 700 tons of coal; make 150 tons of ashes, which are used to repair roads. The excremants of our workpeople are usedfor manure. No suggestions to offer."
Thomas C. Taylor & Company,Dyers,Birstal,"Our works are situated on the Birstal Beck, a tributary of the Calder. Employ 23 hands. Rateable value of works, 151l. 8s. 4d. The bed of the stream has not silted up within or under. Our works are slightly affected by floods, caused by a weir upon the stream. The stream is polluted by works above and by mines. Obtain supply of water jointly from the stream, from wells, waterworks, and from gathering ground; and consume yearly about 400,000,000 gallons. If the stream, from which we might obtain a supply of water, were rendered clear and colourless, it would be a direct money value to us of 80l. a year. We dye yearly 462,000 lbs. of goods, of the value of 91,000l. Produce yearly liquid refuse, for washing, 3,000,000 gallons; and dyeing, 1,000,000 gallons. Have no depositing tanks, and the liquid refuse flows direct into the stream. Use yearly 521,796 lbs. of dye woods, chiefly alum, myrobalans, logwood, peachwood, fustic, madder, munjeet, lac, aniline, cochineal, turmeric, sulphate of indigo, cochineal, flavine, and various acids, nitro-muriatic, tartar, argol, sulphuric acid, and bran. The soluble portion of the spent dye stuffs flows into the stream. Use yearly from 40 to 44 tons of coal; the ashes from which are used as ballast on railways. Have no suggestions to offer."
John Nussey,Scribbler and Spinner,"Smithies Mill, Birstal","My works are situated on the Birstal Beck, a tributary of the Calder. Employ 38 hands. Rateable value of works, 260l. The bed of the stream has not silted up. My works are not affected by floods. Formerly the stream was pure; it is now extremely polluted by works above, and by mines. Obtain supply of water for filling from wells and waterworks, and for steam boiler purposes from the stream; consume yearly from wells and waterworks 2,000,000 gallons. We operate yearly upon 478,000 lbs. of goods. Produce yearly 2,000,000 gallons of liquid refuse from scouring, which flows direct into the stream. Do not use any dye woods or materials. Use yearly 1,100 gallons of oil and Price's patent oil, which is provided by the persons for wool and spin. The whole of the waste wool produced in carding is sold for manure. Use yearly, fuller's earth 12 tons, soap 1 ton, alkali 2 tons, and urine 8,000 gallons. The soapuds are not treated for the recovery of the grease. Use steam, 20 nominal horse-power. Consume yearly 1,133 tons of coal, the ashes from which are used partly as ballast on railways and partly for the repair of roads. The excrements of our workpeople are mixed with the finer ashes and used for manure. I suggest, as the best means of avoiding pollution in future, that cinders and all solid refuse should be kept out of rivers and streams."
Birstal Britannia Mill Company,Scribblers and Millers,Birstal,"Our works are situated on a tributary of the Birstal Beck, an affluent of the Calder. Employ 82 hands. Rateable value of works, 467l. 15s. The bed of the stream has not silted up. Our works are not affected by floods. The condition of the stream is not affected by floods within our knowledge. The stream is polluted by refuse from the brewery above; not by mines. Obtain supply of water jointly from wells and waterworks, and consume yearly from the latter source 800,000 gallons. We scribble and mill yearly, 2,188,000 lbs. of the value of 18,000l. The whole of the waste wool produced at our works flows unfiltered into the stream. We use dye woods for bleaching materials. Use yearly oil, rape, patent, and black oils, of the value of 3,000l. Produce waste wool about 20,000 lbs. in the process of carding, which is sold partly to extractors and partly for manure. We do not use either soap, alkali, or urine. The soapuds are not treated for the recovery of the grease. Use steam, 20 nominal horse-power. Consume yearly 1,400 tons of coal; make 200 tons of ashes, which are partly used for repairing roads and for ballast to railways. The excrements of our workpeople are used for manure. Have no suggestions to offer."
Carrs Mill Company,"Woollen Scribblers, Spinners, and Weavers",Birstal,"Our works are situated on Noivach Beck, a tributary of the Calder. Employ 100 hands. Rateable value of works, 400l. The stream has not silted up. My works are not affected by floods; the condition of the stream has not changed within our knowledge. It is polluted by works above, not by mines. Obtain supply of water from the stream, wells, bore-holes, and from waterworks; but estimate the annual consumption at our works. We supply yearly 4,000 packs (240 lbs. each) of goods, of the value of £33,000. The whole of the waste liquid produced at our works flows direct into sewers, and thence into the stream. We do not use any dyes or bleaching materials. Use yearly 2,500 gallons of olive and patent oils, of the value of £450. We produce 130 packs of waste wool in the process of carding, which is sold for manure. Use yearly, soap by which we gain yearly £18. Use steam, 35 nominal horse-power. Consume yearly 1,200 tons of coal; makes 200 tons of ashes, which are carted away from the premises. Have no suggestions to offer."
"Ellis, Purdy, And Company",Blanket Manufacturers,"Spring Mills, Carlinghow, Batley","Our works are situated on Common Lane Dyke, a tributary of the Calder. Employ 35 hands. Rateable value of works, £163, 17s. 6d. The bed of the stream has not silted up. Our works are not affected by floods. The stream opposite our works has been for more than 30 years clean; it is now so much polluted by works above ours that it is totally unfit for our purposes. It is not polluted by mines. Obtain supply of water jointly from the stream and from a well. If the stream were rendered clear and colourless it would be a direct money value of £200 a year. We spend yearly 13,200 lbs. of goods, of the value of £5,903. The whole of the waste liquid produced at our works flows direct into the stream. Do not use any dyes or bleaching materials. Use yearly 1,540 gallons of olive oil, of the value of £351. The whole of the waste wool produced in carding is partly sold to extractors and partly used for manure. Use yearly, soap. The soaps are not treated for the recovery of the grease. Use steam, 20 nominal horse-power. Consume yearly 650 tons of coal; make 65 tons of ashes, which are chiefly used for road repair and for mixing with lime for mortar. The excrements of our workpeople are removed by farmers and used for manure. No suggestions to offer."
Joshua Ellis And Company,"Woollen Manufacturers, Scribblers, Spinners, and Finishers","Batley Carr, and at Ravensthorpe","Our works are situated at Batley Carr, on the Batley Carr Beck, and at Ravensthorpe, on the Calder. Employ at Batley Carr 320 hands, and at Ravensthorpe 17 hands. Rateable value of works at Batley Carr, 1,074l., 5s., and Ravensthorpe, 142l, 10s. The bed of Batley Carr Beck has silted up, causing the throwing in of ashes and other solid refuse. Our works are not affected by floods. The condition of the streams gradually becomes worse year by year. They are polluted by works above and by mines. Obtain supply jointly from streams, from wells, and from waterworks. We keep no account of the quantity consumed at Batley Carr, but at Ravensthorpe consume yearly 35,640,000 gallons. Manufacture yearly 480,000 lbs. of goods, of the value of £90,000. Produce yearly, liquid refuse from washing, 4,500,000; from dyeing, 4,500,000; from soap suds, 360,000; and from seak, 850,000. The whole of the liquid refuse produced at our works, except soaps and seak, flows direct into the stream. Use yearly as dye woods, logwood, 89,690 lbs.; barwood, 5,600 lbs.; tin ore, 22,400 lbs.; camwood, 560 lbs.; Sanders, 1,200 lbs.; madder, 1,126 lbs.; indigo, 3,600 lbs.; 5,250 lbs.; copperas, 560 lbs.; 12,120 lbs.; iron liquor, 13,500 lbs.; oil of vitriol 1,200 lbs.; blue spirits, 1,250 lbs.; binterate iron, 48,060 lbs.; and bi-chrome, 4,896 lbs. Do not use any dye materials. Use yearly 7,000 gallons of olive oil, of the value of £1,760. The whole of the waste wool produced in carding is sold either to oil extractors, or used for manure. Use yearly, soap, 10,740 lbs.; and 39,440 lbs., and urine 80,000 gallons. The soaps and seak were formerly sold to grease extractors for 701. per annum, but are now turned into stream. Use steam, at Ravensthorpe 20, and at Batley Carr 50 nominal horse-power. Consume yearly at Ravensthorpe 1,000 tons, and at Batley Carr 2,000 tons of coal, as the fires from which are given away to repair roads. The excrements of our workpeople are carted away for manure. Have no suggestions to offer as to the means of avoiding pollution in future, or as to the conservancy of rivers and streams."
J. Senior & Son,Size and Glue Boilers,"Mill Road, Batley Carr","Our works are situated on a tributary of Batley Carr Beck, an affluent of the Calder. Employ 2 hands. Rateable value of works, £22l., 5s. Our works are affected by floods. Obtain supply of Water from waterworks, but do not know the annual consumption at our works. We size yearly, 124,800 lbs. of goods of the value of 37,440l. In the manufacture of size we use bones and shod. Consume yearly, 120 tons of ashes from which are used to repair roads. The excrements of our workpeople are used for manure. Have no suggestions to offer."
John Jubb & Sons,"Rag, Wool Manufacturers and Heavy Woollen Goods Manufacturers.","Bradford Road, Batley","Our works are situated on Batley Carr Beck, a tributary of the Calder. Employ 200 hands. Rateable value of works, 497l. 2s. The bed of the stream has silted up, caused by ashes and other solid refuse thrown into it. Our works are affected by floods; but this is due entirely to the silting up of the bed of the stream. Formerly, with our knowledge, the water of the Beck was clear and bright; it is now dirty, and almost the colour of ink. It is polluted to a considerable extent by works above, and by mines. Obtain supply of water partly from the Beck and partly from waterworks. Use very little water other than for steam boiler purposes. Manufacture yearly goods to the value of 40,000l. The liquid refuse produced at our works flows direct into the Beck. Do not use any dye waters or bleaching materials. Use yearly, 50 tons of waste wool and cloth oils, of the value of 1,300l. Produce 26 tons of waste wool in the process of carding, which is partly sold and partly used for manure. Do not use either soap, alkali, or urine. Use yearly, 40 nominal horse-power. Consume yearly, 1,000 tons of coal; make 200 tons of ashes, which are used for repairing roads. The excrements of our workpeople are passed into the Beck. Have no suggestions to offer."
